model,model_family,pca_components,n_qubits,train_size,runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,runtime_mean,runtime_std,pca_explained_variance_mean,pca_explained_variance_std,kernel_total_bytes_mean,effective_rank_mean,effective_rank_std,offdiag_std_mean,offdiag_std_std,condition_number_mean,condition_number_std
"QSVC — PCA 4 / 4Q (reps=1, full)",Quantum,4,4,100,5,0.7947368421052631,0.03317135158103341,0.8059041748515433,0.07128250685807544,0.6047619047619048,0.17218747363585282,0.6733430398297128,0.09777462986259851,0.8628306878306878,0.032553357506346844,0.21494786000030217,0.022245978011694367,0.8024809333689337,0.011756707718471858,171200.0,64.06003565698055,1.7597123791503133,0.08309688268167974,0.0044055011023750165,241.8068840462287,89.96240550564717
Linear SVM — PCA 2,Classical,2,0,200,5,0.9421052631578949,0.015935001863671,0.9008153177010609,0.02368302061508274,0.9476190476190476,0.03104382097715545,0.9233674033876873,0.021336473564993887,0.9867063492063493,0.007886055465458576,0.0016614799998023954,0.00015687395260285107,0.6389538803119328,0.013583814733242447,0.0,,,,,,
RBF SVM — PCA 2,Classical,2,0,200,5,0.9315789473684211,0.015691705105261675,0.9157356259301339,0.04514869730370619,0.9,0.03912303982179759,0.9065848215564609,0.020233414444496306,0.9864417989417988,0.004503914838583427,0.002304900000217458,0.00029025584414898585,0.6389538803119328,0.013583814733242447,0.0,,,,,,
"QSVC — PCA 2 / 2Q (reps=1, full)",Quantum,2,2,200,5,0.887719298245614,0.014413751513293842,0.8820592705167172,0.05213272979941241,0.8095238095238095,0.07529232524210426,0.8406458598840073,0.02590805268868048,0.9453042328042327,0.011475868321652042,0.11016985999995085,0.006459348178271689,0.6389538803119328,0.013583814733242447,502400.0,8.026844920218426,0.4812995367509859,0.27509470138405884,0.009331658400401663,7.551939920151222e+18,2.664339457622976e+18
Linear SVM — PCA 4,Classical,4,0,200,5,0.9578947368421051,0.0156917051052617,0.9431731626286363,0.026204347106239,0.9428571428571428,0.021295885499997964,0.942907765515845,0.021020885762323027,0.991005291005291,0.002896115614525346,0.0018163199999435165,0.0002856618927253777,0.7961382112651292,0.010128487101199981,0.0,,,,,,
RBF SVM — PCA 4,Classical,4,0,200,5,0.9508771929824562,0.015935001863671,0.9310756239090437,0.03815237599676791,0.938095238095238,0.03984095364447978,0.9336508518859418,0.02159297077228197,0.9907407407407408,0.004717375204261633,0.0024228799999946203,0.00014338949410997308,0.7961382112651292,0.010128487101199981,0.0,,,,,,
"QSVC — PCA 4 / 4Q (reps=1, full)",Quantum,4,4,200,5,0.8578947368421053,0.028693731989116032,0.8531695917742429,0.059808032289825355,0.7476190476190476,0.06859457281375204,0.7942551331903529,0.04400726109393776,0.9298280423280424,0.014843058748725374,0.31174252000037084,0.01911856933124363,0.7961382112651292,0.010128487101199981,502400.0,89.05473306079679,3.7028877063710572,0.08818628082291488,0.0033290011950303866,843663.2108569952,1826460.910176754
Linear SVM — PCA 2,Classical,2,0,300,5,0.9438596491228071,0.026750790670134906,0.9118167546738973,0.05890627559389999,0.9428571428571428,0.036108930685959745,0.9258262266014203,0.032826708509159794,0.9892195767195767,0.0038108096007639573,0.001897720000033587,0.0001562877218880293,0.6382671204434593,0.01073786486629976,0.0,,,,,,
RBF SVM — PCA 2,Classical,2,0,300,5,0.9333333333333332,0.013303290252722002,0.9242113442113442,0.04034663417815543,0.8952380952380953,0.04937247941268504,0.9079876673789871,0.019083533978918016,0.9864417989417991,0.004728951602538063,0.0029546599999775935,0.000597080302804365,0.6382671204434593,0.01073786486629976,0.0,,,,,,
"QSVC — PCA 2 / 2Q (reps=1, full)",Quantum,2,2,300,5,0.9157894736842106,0.026021749077528668,0.9192659587214325,0.04479360159220073,0.8476190476190475,0.059761430466719695,0.8806921672879622,0.03883967994067744,0.9651455026455025,0.012995232348827178,0.14663233999972364,0.006171732966299035,0.6382671204434593,0.01073786486629976,993600.0,7.404213412678888,0.15699440625353453,0.28874696950095546,0.006459071639159073,3.94450653118106e+19,3.9770091022662664e+19
Linear SVM — PCA 4,Classical,4,0,300,5,0.9596491228070174,0.007845852552630865,0.944062049062049,0.02396506216840382,0.9476190476190476,0.03104382097715545,0.9452893681187928,0.011192377088881052,0.9943121693121693,0.0018910024412031334,0.001947099999870261,0.00011585234159881922,0.7965650331637415,0.009776186197523296,0.0,,,,,,
RBF SVM — PCA 4,Classical,4,0,300,5,0.9543859649122807,0.01441375151329386,0.9493268784311584,0.04435804740676504,0.9285714285714285,0.03764616262105212,0.9376505033562588,0.018799677304873235,0.993584656084656,0.003686835643430843,0.0030539000000317173,0.0002612898581289738,0.7965650331637415,0.009776186197523296,0.0,,,,,,
"QSVC — PCA 4 / 4Q (reps=1, full)",Quantum,4,4,300,5,0.887719298245614,0.025873475796057244,0.8725474196206431,0.05391861653583659,0.819047619047619,0.05976143046671967,0.8429009643784919,0.03509314071136245,0.9489417989417989,0.015596059884734363,0.40118658000010327,0.022853735600823037,0.7965650331637415,0.009776186197523296,993600.0,93.2652270895718,2.2395810744476696,0.09673939369624322,0.0027755254794756194,4.007600143170047e+17,4.7972338966265446e+17
Linear SVM — PCA 2,Classical,2,0,455,5,0.9473684210526315,0.015193428136569098,0.9151714764975527,0.04442197180764105,0.9476190476190476,0.02608202654786504,0.9302171547585214,0.018157633788199984,0.9897486772486772,0.0026351483879810083,0.002802779999910854,0.0003615037372402343,0.634813372147079,0.005576535132663257,0.0,,,,,,
RBF SVM — PCA 2,Classical,2,0,455,5,0.9438596491228071,0.01593500186367101,0.9339122195733236,0.04109091937249442,0.9142857142857143,0.027147033930931846,0.9232849190827952,0.02021661294770251,0.9864417989417991,0.003975137328098936,0.003619520000029297,0.0002666416076724597,0.634813372147079,0.005576535132663257,0.0,,,,,,
"QSVC — PCA 2 / 2Q (reps=1, full)",Quantum,2,2,455,5,0.9122807017543859,0.02236412067365258,0.9313337848941565,0.026860905323310154,0.8238095238095238,0.07063046178186344,0.8725547201336676,0.03758026780285891,0.9697089947089946,0.014106849839566268,0.19957682000012938,0.010251110122742092,0.634813372147079,0.005576535132663257,2071160.0,7.345458974362939,0.20562093025751635,0.29076184361596097,0.003937995555149427,1.116078649568005e+20,1.7030687326385006e+20
Linear SVM — PCA 4,Classical,4,0,455,5,0.9631578947368421,0.015691705105261695,0.9492919116938205,0.03443905269920908,0.9523809523809523,0.03764616262105212,0.9500933140078491,0.02107207387830463,0.9952380952380953,0.0030181492616678783,0.0026928400000542753,0.00010286426971673455,0.7944679173133415,0.0036878212276263275,0.0,,,,,,
RBF SVM — PCA 4,Classical,4,0,455,5,0.9578947368421051,0.020003077633318198,0.9448221343873519,0.04360723549142877,0.9428571428571428,0.03610893068595975,0.9430206775640695,0.02590901255266131,0.9944444444444445,0.0035105904833571963,0.003739359999963199,8.483479837931895e-05,0.7944679173133415,0.0036878212276263275,0.0,,,,,,
"QSVC — PCA 4 / 4Q (reps=1, full)",Quantum,4,4,455,5,0.905263157894737,0.04225120904839402,0.8747664616085669,0.0766828940857646,0.8761904761904761,0.0831630914122523,0.8720597553526798,0.05555041305974113,0.9581349206349206,0.022672744826524677,0.5589565399999629,0.048339818171027976,0.7944679173133415,0.0036878212276263275,2071160.0,96.48512374501927,5.414778047192835,0.10148783665817622,0.004626224757699314,6.489815638286682e+19,1.1171223929157383e+20
