seed,model,kernel,pca_components,n_features,accuracy,precision,recall,f1,roc_auc,training_time,prediction_time,total_runtime
456,Polynomial SVM — PCA 2,poly,2,2,0.9122807017543859,1.0,0.7619047619047619,0.8648648648648649,0.9907407407407408,0.0020389999999679276,0.000743899999633868,0.0027828999996017956
456,Linear SVM — PCA 4,linear,4,4,0.9473684210526315,0.95,0.9047619047619048,0.926829268292683,0.99239417989418,0.0021746999996139493,0.0004915999998047482,0.0026662999994186976
456,RBF SVM — PCA 4,rbf,4,4,0.9473684210526315,0.95,0.9047619047619048,0.926829268292683,0.9920634920634921,0.0020115000002078887,0.0015157000002545828,0.0035272000004624715
456,Polynomial SVM — PCA 4,poly,4,4,0.9035087719298246,1.0,0.7380952380952381,0.8493150684931506,0.9755291005291006,0.001783000000159518,0.0007697000000916887,0.002552700000251207
789,Linear SVM — PCA 2,linear,2,2,0.956140350877193,0.9111111111111111,0.9761904761904762,0.9425287356321839,0.9884259259259259,0.001974399999653542,0.0005034999999224965,0.0024778999995760387
789,RBF SVM — PCA 2,rbf,2,2,0.9385964912280702,0.926829268292683,0.9047619047619048,0.9156626506024096,0.9887566137566137,0.0019702999998116866,0.001591799999914656,0.0035620999997263425
789,Polynomial SVM — PCA 2,poly,2,2,0.8947368421052632,0.96875,0.7380952380952381,0.8378378378378378,0.9841269841269841,0.0029067000000395637,0.0007009000000834931,0.003607600000123057
789,Linear SVM — PCA 4,linear,4,4,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9993386243386244,0.0019330000000081782,0.0004868999999416701,0.0024198999999498483
789,RBF SVM — PCA 4,rbf,4,4,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.998015873015873,0.002649099999871396,0.001699200000075507,0.004348299999946903
789,Polynomial SVM — PCA 4,poly,4,4,0.9122807017543859,1.0,0.7619047619047619,0.8648648648648649,0.9947089947089947,0.0029540000000451982,0.0008280000001832377,0.003782000000228436
2026,Linear SVM — PCA 2,linear,2,2,0.9210526315789473,0.851063829787234,0.9523809523809523,0.898876404494382,0.9880952380952381,0.0022318999999697553,0.0008164000000761007,0.003048300000045856
2026,RBF SVM — PCA 2,rbf,2,2,0.9210526315789473,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9854497354497355,0.002033300000221061,0.001839300000028743,0.003872600000249804
2026,Polynomial SVM — PCA 2,poly,2,2,0.8771929824561403,0.9375,0.7142857142857143,0.8108108108108109,0.97255291005291,0.0018808999998327636,0.000681800000165822,0.0025626999999985856
2026,Linear SVM — PCA 4,linear,4,4,0.9473684210526315,0.8913043478260869,0.9761904761904762,0.9318181818181818,0.9943783068783069,0.002085099999931117,0.0007607000002280984,0.0028458000001592154
2026,RBF SVM — PCA 4,rbf,4,4,0.9298245614035088,0.8695652173913043,0.9523809523809523,0.9090909090909091,0.9907407407407407,0.001962700000149198,0.0017269999998461572,0.003689699999995355
2026,Polynomial SVM — PCA 4,poly,4,4,0.9210526315789473,1.0,0.7857142857142857,0.88,0.9947089947089948,0.003818300000148156,0.001766200000020035,0.005584500000168191
