seed,model,kernel,pca_components,inner_cv_f1_mean,inner_cv_f1_std,inner_cv_accuracy_mean,inner_cv_accuracy_std,inner_cv_roc_auc_mean,inner_cv_roc_auc_std,n_folds,selected_C,selected_gamma,search_runtime
456,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,0.8753691872643486,0.044649034834095214,0.9120879120879121,0.031081616755452682,0.9676986584107328,0.01373266570663586,5,1.0,none,1.0577625999999327
456,Linear SVM — PCA 4,linear,4,0.9577128380996667,0.030544094423308667,0.9692307692307691,0.021137784683155334,0.9932920536635705,0.007084380917309494,5,10.0,none,0.37954979999994976
456,RBF SVM — PCA 4,rbf,4,0.9589640174299314,0.0196086473820108,0.9692307692307693,0.014327917374071755,0.9909184726522188,0.010426436851756898,5,10.0,scale,1.6435897999999725
456,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,0.8383281914164268,0.05115598345006372,0.8835164835164836,0.037748492389709176,0.9594427244582043,0.008114434995173777,5,1.0,none,2.5486825999996654
789,Linear SVM — PCA 2,linear,2,0.940723145490867,0.022715669215468474,0.956043956043956,0.017375151978947134,0.9893704850361196,0.006283719681474047,5,0.1,none,0.30592739999974583
789,RBF SVM — PCA 2,rbf,2,0.9252295905383567,0.019016615176230982,0.945054945054945,0.013458734850457028,0.9882352941176471,0.00616393732054403,5,10.0,0.01,1.5772188000000824
789,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,0.8710686328596777,0.054089123131788513,0.9076923076923077,0.03694007981092661,0.9670794633642931,0.02598078927080978,5,10.0,none,1.0268000000000939
789,Linear SVM — PCA 4,linear,4,0.9455366524023241,0.013002292132625699,0.9604395604395604,0.009828870230768321,0.9913312693498453,0.00729180858697196,5,0.01,none,0.3476934000000256
789,RBF SVM — PCA 4,rbf,4,0.9490728177295342,0.022427086579532594,0.9626373626373625,0.016665660316596796,0.9901960784313726,0.007324597299576087,5,100.0,0.01,1.650223300000107
789,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,0.8630601343101343,0.042695266598185566,0.9032967032967033,0.029486610692304936,0.9472652218782249,0.020108617990051942,5,1.0,none,2.5860947000001033
2026,Linear SVM — PCA 2,linear,2,0.935505328218244,0.02900009155711834,0.9516483516483516,0.022787298190470026,0.989576883384933,0.006897766734964259,5,0.1,none,0.30709109999997963
2026,RBF SVM — PCA 2,rbf,2,0.9390387800605191,0.0257868905198464,0.9538461538461538,0.021137784683155338,0.9884416924664603,0.00738433181424079,5,10.0,0.01,1.5034197999998469
2026,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,0.8726344388310328,0.02078361906263685,0.9076923076923077,0.019962529807236215,0.9447884416924666,0.025662690404144935,5,10.0,none,1.0438829999998234
2026,Linear SVM — PCA 4,linear,4,0.9606796057631668,0.03201979684282139,0.9714285714285715,0.022787298190470043,0.993498452012384,0.006938178044983079,5,0.1,none,0.31209390000003623
2026,RBF SVM — PCA 4,rbf,4,0.9551206481527702,0.028600065891725365,0.9670329670329672,0.020558557070186514,0.993498452012384,0.006273117818546577,5,10.0,0.01,1.7309614999999212
2026,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,0.8701724208627194,0.0345172065938307,0.9054945054945055,0.02529860314993701,0.9619195046439628,0.007997103721799556,5,1.0,none,2.5200314999997317
