seed,model,kernel,pca_components,C,gamma,inner_cv_f1_mean,inner_cv_f1_std,inner_cv_accuracy_mean,inner_cv_accuracy_std,inner_cv_roc_auc_mean,inner_cv_roc_auc_std,n_folds
42,RBF SVM — PCA 4,rbf,4,0.1,auto,0.9207403893389869,0.023977934842307057,0.9406593406593406,0.016665660316596796,0.9833849329205366,0.008275261175120558,5
42,RBF SVM — PCA 4,rbf,4,0.1,0.01,0.9100903263403264,0.02816155682102416,0.9362637362637363,0.019657740461536635,0.9868937048503612,0.008569260754558855,5
42,RBF SVM — PCA 4,rbf,4,0.1,0.1,0.9210241250650458,0.020533835160990603,0.9406593406593406,0.01474330534615247,0.987203302373581,0.00770891615974538,5
42,RBF SVM — PCA 4,rbf,4,0.1,1.0,0.0,0.0,0.6263736263736264,0.0,0.9773993808049536,0.007498824406433433,5
42,RBF SVM — PCA 4,rbf,4,1.0,scale,0.9317980570154484,0.027158711847618245,0.9494505494505494,0.019962529807236194,0.9922600619195047,0.0061162381791174895,5
42,RBF SVM — PCA 4,rbf,4,1.0,auto,0.9233887096831683,0.02359775777636278,0.9428571428571428,0.016299337334276163,0.9836945304437565,0.007762265697065728,5
42,RBF SVM — PCA 4,rbf,4,1.0,0.01,0.9371084413035782,0.013539289400146794,0.9538461538461538,0.009194066225649196,0.9918472652218782,0.005330015070636455,5
42,RBF SVM — PCA 4,rbf,4,1.0,0.1,0.9353789205963119,0.026951514726674196,0.9516483516483516,0.019962529807236177,0.9888544891640867,0.007420300521051606,5
42,RBF SVM — PCA 4,rbf,4,1.0,1.0,0.9002924908625708,0.029993089320544886,0.9208791208791208,0.027362416698876353,0.9777089783281735,0.008466107039006666,5
42,RBF SVM — PCA 4,rbf,4,10.0,scale,0.9381077278827963,0.026302819242313265,0.9538461538461538,0.019657740461536597,0.9913312693498453,0.006355343338576771,5
42,RBF SVM — PCA 4,rbf,4,10.0,auto,0.9224647254051351,0.020412504445335246,0.9406593406593406,0.016665660316596807,0.9667698658410732,0.008949219149093404,5
42,RBF SVM — PCA 4,rbf,4,10.0,0.01,0.9469191677887331,0.022804550040939314,0.9604395604395604,0.016665660316596807,0.9931888544891642,0.004748844319852861,5
42,RBF SVM — PCA 4,rbf,4,10.0,0.1,0.9201014139463313,0.02474155184518647,0.9406593406593406,0.016665660316596803,0.983797729618163,0.008228476011424422,5
42,RBF SVM — PCA 4,rbf,4,10.0,1.0,0.893357767148812,0.02536829639267153,0.9142857142857143,0.02382360811942727,0.9725490196078432,0.0076743002858939875,5
42,RBF SVM — PCA 4,rbf,4,100.0,scale,0.9321420200538387,0.02337067097409895,0.9494505494505494,0.016665660316596807,0.9851393188854489,0.009447093904103837,5
42,RBF SVM — PCA 4,rbf,4,100.0,auto,0.8922721579697676,0.04702968067955206,0.9164835164835164,0.03774849238970914,0.9541795665634675,0.01899537727941144,5
42,RBF SVM — PCA 4,rbf,4,100.0,0.01,0.9531898969575027,0.018905124669678343,0.9648351648351647,0.014327917374071748,0.9924664602683178,0.006419950883383221,5
42,RBF SVM — PCA 4,rbf,4,100.0,0.1,0.906634035879982,0.030434091846186805,0.9296703296703297,0.02142152603254715,0.9679050567595459,0.009711146497304228,5
