seed,train_size,model,model_family,pca_components,n_qubits,accuracy,precision,recall,f1,roc_auc,fit_time,prediction_time,total_runtime,pca_explained_variance,kernel_train_bytes,kernel_test_bytes,kernel_total_bytes,effective_rank,condition_number,offdiag_mean,offdiag_std,statevector_train_time,statevector_test_time,train_kernel_matrix_time,test_kernel_matrix_time,baseline_C,baseline_gamma
789,455,RBF SVM — PCA 2,Classical,2,0,0.9385964912280702,0.926829268292683,0.9047619047619048,0.9156626506024096,0.9887566137566136,0.0018178000000261,0.001647700000376,0.0034655000004022,0.6320953825208835,0,0,0,,,,,,,,,1.0,scale
789,455,"QSVC — PCA 2 / 2Q (reps=1, full)",Quantum,2,2,0.8771929824561403,0.9117647058823528,0.7380952380952381,0.8157894736842105,0.949074074074074,0.0018523000003369,0.0005916999998589,0.1875350000000253,0.6320953825208835,1656200,414960,2071160,7.158246617577683,4.156603373296546e+20,0.3310537557319528,0.2922184560126905,0.1457580000001144,0.037084699999923,0.0019438999997873,0.0003044000000045,1.0,none
789,455,Linear SVM — PCA 4,Classical,4,0,0.9736842105263158,0.975609756097561,0.9523809523809524,0.963855421686747,0.9993386243386244,0.0021033000002717,0.0005075999997643,0.002610900000036,0.7895518179235321,0,0,0,,,,,,,,,1.0,none
789,455,RBF SVM — PCA 4,Classical,4,0,0.9649122807017544,0.975,0.9285714285714286,0.951219512195122,0.998015873015873,0.0020217999999658,0.0017925000001923,0.0038143000001582,0.7895518179235321,0,0,0,,,,,,,,,1.0,scale
789,455,"QSVC — PCA 4 / 4Q (reps=1, full)",Quantum,4,4,0.8947368421052632,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.9540343915343916,0.0033142000002044,0.0007852999997339,0.5201221000002079,0.7895518179235321,1656200,414960,2071160,104.80226767533657,2.6478354015840272e+19,0.0911010985771246,0.094690033789489,0.4066658000001553,0.1069384000002173,0.0019933999997192,0.0004250000001775,1.0,none
2026,455,Linear SVM — PCA 2,Classical,2,0,0.9210526315789472,0.851063829787234,0.9523809523809524,0.898876404494382,0.988095238095238,0.002125800000158,0.0005546999996113,0.0026804999997693,0.6299184132873158,0,0,0,,,,,,,,,1.0,none
2026,455,RBF SVM — PCA 2,Classical,2,0,0.9210526315789472,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9854497354497356,0.0022031999997125,0.0018549999999777,0.0040581999996902,0.6299184132873158,0,0,0,,,,,,,,,1.0,scale
2026,455,"QSVC — PCA 2 / 2Q (reps=1, full)",Quantum,2,2,0.9298245614035088,0.9473684210526316,0.8571428571428571,0.9,0.9619708994708994,0.0018484999995962,0.0006101999997554,0.1971165999998447,0.6299184132873158,1656200,414960,2071160,7.644102961949965,5.093925788183689e+19,0.3154176181473804,0.2837420416958258,0.1522331000001031,0.0400251999999454,0.0020760000002155,0.0003236000002289,1.0,none
2026,455,Linear SVM — PCA 4,Classical,4,0,0.9473684210526316,0.8913043478260869,0.9761904761904762,0.9318181818181818,0.9943783068783068,0.0021870999999009,0.0005716000000575,0.0027586999999584,0.7916098794171269,0,0,0,,,,,,,,,1.0,none
2026,455,RBF SVM — PCA 4,Classical,4,0,0.9298245614035088,0.8695652173913043,0.9523809523809524,0.9090909090909092,0.9907407407407408,0.0020461999997678,0.0017198000000462,0.003765999999814,0.7916098794171269,0,0,0,,,,,,,,,1.0,scale
2026,455,"QSVC — PCA 4 / 4Q (reps=1, full)",Quantum,4,4,0.8596491228070176,0.75,0.9285714285714286,0.8297872340425532,0.939484126984127,0.0027149000002282,0.0006451999997807,0.5435875000002852,0.7916098794171269,1656200,414960,2071160,97.20956591786096,8.955455163085389e+18,0.0956595397476282,0.1006701416319577,0.4374754000000393,0.1003982000001997,0.0018506999999772,0.0005031000000599,1.0,none
