seed,pca_components,n_qubits,reps,entanglement,accuracy,precision,recall,f1,roc_auc,kernel_backend,statevector_generation_time,kernel_matrix_time,classifier_fit_time,prediction_time,total_runtime,condition_number,min_eigenvalue,max_eigenvalue,trace,effective_rank,offdiag_mean,offdiag_std,offdiag_min,offdiag_max,offdiag_median,offdiag_q25,offdiag_q75
123,4,4,2,linear,0.8508771929824561,0.8571428571428571,0.7142857142857143,0.7792207792207793,0.9434523809523809,exact_statevector_gram,0.8005701000001864,0.001767399997333996,0.0029250000006868504,0.0010232999993604608,0.8062857999975677,6.186623624046031e+17,-2.5575373551379776e-16,40.16663522374397,455.0,95.28455289958163,0.08182416091971093,0.1056884765625755,9.193098019032669e-07,0.9840285560036435,0.04600872580217751,0.01729147464256398,0.10375976944159783
123,4,4,2,full,0.8333333333333334,0.8709677419354839,0.6428571428571429,0.7397260273972602,0.9196428571428572,exact_statevector_gram,1.1954019999975571,0.0018467999980202876,0.0033922000002348796,0.0008368999988306314,1.201477899994643,4.198934103761779e+17,-2.8807645060824527e-16,40.53266627211798,455.0,120.56395575580973,0.08267194464590356,0.08638333229727725,1.2299927094028953e-07,0.9593119065079833,0.05718786520190417,0.02398531015565471,0.11254978714025608
123,4,4,3,linear,0.8508771929824561,0.8787878787878788,0.6904761904761905,0.7733333333333333,0.912037037037037,exact_statevector_gram,1.136504000001878,0.0019937000033678487,0.0030504000023938715,0.0012195999952382408,1.142767700002878,4.9279122513605224e+16,-9.338046373249848e-16,49.71132542113732,455.0,93.6047490921262,0.09706177879813276,0.10743858168724177,3.1187311881710274e-08,0.9745401170883781,0.061924051063559145,0.024498839261355543,0.1312517750233724
123,4,4,3,full,0.7368421052631579,0.7307692307692307,0.4523809523809524,0.5588235294117647,0.8058862433862435,exact_statevector_gram,1.7705406000022776,0.002508600002329331,0.0038956999997026287,0.0008232999971369281,1.7777682000014465,3.122784194914724e+16,-1.3096257072432821e-15,38.8040052744916,455.0,134.2414400307054,0.07912038895813667,0.07902007590600756,2.60664287180145e-06,0.9438052264056835,0.055972360259902716,0.02341513065795208,0.10979479600554043
456,2,2,1,linear,0.9035087719298246,0.9696969696969697,0.7619047619047619,0.8533333333333334,0.9818121693121693,exact_statevector_gram,0.23380619999807095,0.001205200002004858,0.0017480999958934262,0.0005672000042977743,0.237326700000267,2.0973088100370907e+19,-3.8888084370003485e-14,163.1493301799055,455.0,7.192574436914831,0.3292648563713973,0.2930560289778169,7.315309935421942e-07,0.999976915230362,0.23003399613275208,0.08555885678847033,0.5265630582887814
456,2,2,1,full,0.9035087719298246,0.9696969696969697,0.7619047619047619,0.8533333333333334,0.9818121693121693,exact_statevector_gram,0.25450289999571396,0.0013619999954244122,0.0023159999982453883,0.0006027999988873489,0.2587836999882711,2.0973088100370907e+19,-3.8888084370003485e-14,163.1493301799055,455.0,7.192574436914831,0.3292648563713973,0.2930560289778169,7.315309935421942e-07,0.999976915230362,0.23003399613275208,0.08555885678847033,0.5265630582887814
456,2,2,2,linear,0.8859649122807017,0.9393939393939394,0.7380952380952381,0.8266666666666667,0.9464285714285714,exact_statevector_gram,0.41512199999851873,0.002068099995085504,0.00232980000146199,0.0006596999955945648,0.4201795999906608,4.214833543390647e+20,-4.457486919806148e-14,215.41989001675068,455.0,6.244904961319147,0.43164191090196546,0.2802553664882278,1.749809783696972e-05,0.9999850250419395,0.4036840308053507,0.1863090637113875,0.651520096289203
456,2,2,2,full,0.8859649122807017,0.9393939393939394,0.7380952380952381,0.8266666666666667,0.9464285714285714,exact_statevector_gram,0.38493349999771453,0.0010903000002144836,0.002257400003145449,0.0009155000007012859,0.38919670000177575,4.214833543390647e+20,-4.457486919806148e-14,215.41989001675068,455.0,6.244904961319147,0.43164191090196546,0.2802553664882278,1.749809783696972e-05,0.9999850250419395,0.4036840308053507,0.1863090637113875,0.651520096289203
456,2,2,3,linear,0.868421052631579,0.8648648648648649,0.7619047619047619,0.810126582278481,0.9470899470899471,exact_statevector_gram,0.5615612999972655,0.0019070999987889081,0.003563500002201181,0.0011496000006445684,0.5681814999989001,2.0260301578097164e+19,-8.327898872700053e-14,242.99595497629787,455.0,5.7188581169390424,0.4910343479282541,0.2678919610865625,3.083612021023746e-05,0.9999820937013507,0.4969079913899728,0.26746862287520984,0.7091942406480153
456,2,2,3,full,0.868421052631579,0.8648648648648649,0.7619047619047619,0.810126582278481,0.9470899470899471,exact_statevector_gram,0.5566395999994711,0.001557100003992673,0.0030501000001095235,0.0009271000017179176,0.5621739000052912,2.0260301578097164e+19,-8.327898872700053e-14,242.99595497629787,455.0,5.7188581169390424,0.4910343479282541,0.2678919610865625,3.083612021023746e-05,0.9999820937013507,0.4969079913899728,0.26746862287520984,0.7091942406480153
