model,model_family,pca_components,n_qubits,train_size,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,runtime_mean,runtime_std,kernel_total_bytes_mean
"QSVC — PCA 4 / 4Q (reps=1, full)",Quantum,4,4,100,0.7947368421052631,0.0331713515810334,0.6733430398297128,0.0977746298625985,0.8628306878306878,0.0325533575063468,0.2149478600003021,0.0222459780116943,171200.0
Linear SVM — PCA 2,Classical,2,0,200,0.9421052631578948,0.015935001863671,0.9233674033876872,0.0213364735649938,0.9867063492063493,0.0078860554654585,0.0016614799998023,0.0001568739526028,0.0
RBF SVM — PCA 2,Classical,2,0,200,0.9315789473684212,0.0156917051052616,0.9065848215564608,0.0202334144444963,0.9864417989417988,0.0045039148385834,0.0023049000002174,0.0002902558441489,0.0
"QSVC — PCA 2 / 2Q (reps=1, full)",Quantum,2,2,200,0.887719298245614,0.0144137515132938,0.8406458598840073,0.0259080526886804,0.9453042328042328,0.011475868321652,0.1101698599999508,0.0064593481782716,502400.0
Linear SVM — PCA 4,Classical,4,0,200,0.9578947368421052,0.0156917051052617,0.942907765515845,0.021020885762323,0.991005291005291,0.0028961156145253,0.0018163199999435,0.0002856618927253,0.0
RBF SVM — PCA 4,Classical,4,0,200,0.9508771929824562,0.015935001863671,0.9336508518859418,0.0215929707722819,0.9907407407407408,0.0047173752042616,0.0024228799999946,0.0001433894941099,0.0
"QSVC — PCA 4 / 4Q (reps=1, full)",Quantum,4,4,200,0.8578947368421053,0.028693731989116,0.7942551331903529,0.0440072610939377,0.9298280423280424,0.0148430587487253,0.3117425200003708,0.0191185693312436,502400.0
Linear SVM — PCA 2,Classical,2,0,300,0.9438596491228072,0.0267507906701349,0.9258262266014204,0.0328267085091597,0.9892195767195768,0.0038108096007639,0.0018977200000335,0.000156287721888,0.0
RBF SVM — PCA 2,Classical,2,0,300,0.9333333333333332,0.013303290252722,0.9079876673789872,0.019083533978918,0.9864417989417992,0.004728951602538,0.0029546599999775,0.0005970803028043,0.0
"QSVC — PCA 2 / 2Q (reps=1, full)",Quantum,2,2,300,0.9157894736842106,0.0260217490775286,0.8806921672879622,0.0388396799406774,0.9651455026455024,0.0129952323488271,0.1466323399997236,0.006171732966299,993600.0
Linear SVM — PCA 4,Classical,4,0,300,0.9596491228070174,0.0078458525526308,0.9452893681187928,0.011192377088881,0.9943121693121691,0.0018910024412031,0.0019470999998702,0.0001158523415988,0.0
RBF SVM — PCA 4,Classical,4,0,300,0.9543859649122808,0.0144137515132938,0.9376505033562588,0.0187996773048732,0.993584656084656,0.0036868356434308,0.0030539000000317,0.0002612898581289,0.0
"QSVC — PCA 4 / 4Q (reps=1, full)",Quantum,4,4,300,0.887719298245614,0.0258734757960572,0.8429009643784919,0.0350931407113624,0.9489417989417988,0.0155960598847343,0.4011865800001032,0.022853735600823,993600.0
Linear SVM — PCA 2,Classical,2,0,455,0.9473684210526316,0.015193428136569,0.9302171547585214,0.0181576337881999,0.9897486772486772,0.002635148387981,0.0028027799999108,0.0003615037372402,0.0
RBF SVM — PCA 2,Classical,2,0,455,0.9438596491228072,0.015935001863671,0.9232849190827952,0.0202166129477025,0.9864417989417992,0.0039751373280989,0.0036195200000292,0.0002666416076724,0.0
"QSVC — PCA 2 / 2Q (reps=1, full)",Quantum,2,2,455,0.912280701754386,0.0223641206736525,0.8725547201336676,0.0375802678028589,0.9697089947089946,0.0141068498395662,0.1995768200001293,0.010251110122742,2071160.0
Linear SVM — PCA 4,Classical,4,0,455,0.963157894736842,0.0156917051052616,0.9500933140078492,0.0210720738783046,0.9952380952380953,0.0030181492616678,0.0026928400000542,0.0001028642697167,0.0
RBF SVM — PCA 4,Classical,4,0,455,0.9578947368421052,0.0200030776333181,0.9430206775640696,0.0259090125526613,0.9944444444444444,0.0035105904833571,0.0037393599999631,8.483479837931895e-05,0.0
"QSVC — PCA 4 / 4Q (reps=1, full)",Quantum,4,4,455,0.905263157894737,0.042251209048394,0.8720597553526798,0.0555504130597411,0.9581349206349206,0.0226727448265246,0.5589565399999629,0.0483398181710279,2071160.0
