seed,pca_components,n_qubits,inner_fold,reps,entanglement,C,n_inner_train,n_inner_validation,kernel_cache_id,kernel_runtime_shared_across_C,inner_accuracy,inner_precision,inner_recall,inner_f1,inner_roc_auc
123,4,4,2,2,full,0.1,364,91,seed=123|dim=4|fold=2|reps=2|ent=full,0.8016997000013362,0.6263736263736264,0.0,0.0,0.0,0.7879256965944272
123,4,4,2,2,full,1.0,364,91,seed=123|dim=4|fold=2|reps=2|ent=full,0.8016997000013362,0.7472527472527473,0.6896551724137931,0.5882352941176471,0.6349206349206349,0.8121775025799793
123,4,4,2,2,full,10.0,364,91,seed=123|dim=4|fold=2|reps=2|ent=full,0.8016997000013362,0.7582417582417582,0.65,0.7647058823529411,0.7027027027027027,0.8199174406604747
123,4,4,2,2,full,100.0,364,91,seed=123|dim=4|fold=2|reps=2|ent=full,0.8016997000013362,0.7252747252747253,0.6285714285714286,0.6470588235294118,0.6376811594202898,0.7951496388028896
123,4,4,2,3,linear,0.01,364,91,seed=123|dim=4|fold=2|reps=3|ent=linear,0.7850551000010455,0.6263736263736264,0.0,0.0,0.0,0.8333333333333334
123,4,4,2,3,linear,0.1,364,91,seed=123|dim=4|fold=2|reps=3|ent=linear,0.7850551000010455,0.6263736263736264,0.0,0.0,0.0,0.8338493292053664
123,4,4,2,3,linear,1.0,364,91,seed=123|dim=4|fold=2|reps=3|ent=linear,0.7850551000010455,0.8351648351648352,0.88,0.6470588235294118,0.7457627118644068,0.82765737874097
123,4,4,2,3,linear,10.0,364,91,seed=123|dim=4|fold=2|reps=3|ent=linear,0.7850551000010455,0.8241758241758241,0.78125,0.7352941176470589,0.7575757575757576,0.8018575851393188
123,4,4,2,3,linear,100.0,364,91,seed=123|dim=4|fold=2|reps=3|ent=linear,0.7850551000010455,0.7802197802197802,0.71875,0.6764705882352942,0.696969696969697,0.8116615067079463
123,4,4,2,3,full,0.01,364,91,seed=123|dim=4|fold=2|reps=3|ent=full,1.1566520000051241,0.6263736263736264,0.0,0.0,0.0,0.6826625386996904
